"lostConnection/title","Rất tiếc!"
"OTP/verifyCodeError","Vui lòng kiểm tra mã của bạn."
"OTP/setPasswordError","Vui lòng kiểm tra mật khẩu của bạn"
"setupPassword/setPasswordTitle","THIẾT LẬP MẬT KHẨU"
"setupPassword/resetPasswordTitle","ĐẶT LẠI MẬT KHẨU"
"setupPassword/setPassword","Thiết lập mật khẩu"
"setupPassword/resetPassword","Đặt lại mật khẩu"
"setupPassword/oldPassword","Mật khẩu hiện tại"
"setupPassword/password","Mật khẩu"
"setupPassword/confirmPassword","Xác nhận mật khẩu"
"setupPassword/placeholderPass","Mật khẩu của bạn"
"setupPassword/placeholderConfirmPass","Xác nhận mật khẩu của bạn"
"setupPassword/retypeError","Mật khẩu và mật khẩu xác nhận phải giống nhau."
"setupPasswordCompleted/registrationCompletedTitle","ĐÃ ĐĂNG KÝ HOÀN TẤT"
"setupPasswordCompleted/passwordResetCompletedTitle","ĐẶT LẠI MẬT KHẨU HOÀN TẤT"
"setupPasswordCompleted/registrationCompletedContent","Bạn đã hoàn tất đăng ký.
Bây giờ, bạn có thể đăng nhập vào UMenu."
"setupPasswordCompleted/passwordResetCompletedContent","Mật khẩu của bạn đã được đặt lại.
Bây giờ, bạn có thể đăng nhập vào UMenu."
"setupPasswordCompleted/getStarted","Hãy bắt đầu nào!"
"setupPasswordCompleted/login","Đăng nhập"
"setupPasswordCompleted/congratulation","Chúc mừng"
"home/welcome","Xin chào"
"home/myMenu","THỰC ĐƠN CỦA TÔI"
"home/myOrders","ĐƠN HÀNG CỦA TÔI"
"home/myOutlet","CỬA HÀNG CỦA TÔI"
"home/myUsers","NGƯỜI DÙNG CỦA TÔI"
"home/myPromotions","KHUYẾN MÃI CỦA TÔI"
"home/myPerformance","HIỆU SUẤT CỦA TÔI"
"home/addOutlet","Thêm cửa hàng ngay bây giờ"
"home/welcomeBackOfOutlet","Bạn chưa hoàn tất việc thêm thông tin cửa hàng của mình, vui lòng bổ sung thông tin cửa hàng ngay bây giờ."
"home/addMenu","Thêm một thực đơn"
"home/welcomeBackOfMenu","Bạn chưa thêm thực đơn cho cửa hàng của mình, vui lòng thêm một thực đơn ngay bây giờ."
"home/copyright","© 2021 Quyền tác giả Heineken. Đã đăng ký bản quyền tác giả"
"myOutlet/basicInformation/title","ĐỊA CHỈ CỬA HÀNG "
"myOutlet/basicInformation/outletName","Tên cửa hàng"
"myOutlet/basicInformation/city","Thành phố"
"myOutlet/basicInformation/district","Quận"
"myOutlet/basicInformation/ward","Phường"
"myOutlet/basicInformation/outletAddress","Địa chỉ cửa hàng"
"myOutlet/basicInformation/outletNamePlaceholder","Tên cửa hàng của bạn"
"myOutlet/basicInformation/cityPlaceholder","Vui lòng chọn một thành phố"
"myOutlet/basicInformation/districtPlaceholder","Vui lòng chọn một quận"
"myOutlet/basicInformation/wardPlaceholder","Vui lòng chọn một phường"
"myOutlet/basicInformation/outletAddressPlaceholder","Địa chỉ cửa hàng của bạn"
"myOutlet/basicInformation/selectCityFirst","Vui lòng chọn thành phố trước"
"myOutlet/basicInformation/selectDistrictFirst","Vui lòng chọn quận trước"
"myOutlet/basicInformation/outletNameError","Tên cửa hàng không được để trống"
"myOutlet/basicInformation/outletAddressError","Địa chỉ cửa hàng không được để trống"
"myOutlet/basicInformation/cityError","Thành phố không được để trống"
"myOutlet/basicInformation/districtError","Quận không được để trống"
"myOutlet/basicInformation/wardError","Phường không được để trống"
"myOutlet/basicInformation/invalidOutlet","Cửa hàng của bạn không thể cập nhật thông tin"
"myOutlet/openingHours/title","GIỜ MỞ CỬA"
"myOutlet/openingHours/open","Mở cửa"
"myOutlet/openingHours/closed","Đóng cửa"
"myOutlet/openingHours/monday","Thứ hai"
"myOutlet/openingHours/tuesday","Thứ ba"
"myOutlet/openingHours/wednesday","Thứ tư"
"myOutlet/openingHours/thursday","Thứ năm"
"myOutlet/openingHours/friday","Thứ sáu"
"myOutlet/openingHours/saturday","Thứ bảy"
"myOutlet/openingHours/sunday","Chủ nhật"
"myOutlet/openingHours/opensAt","Mở cửa vào"
"myOutlet/openingHours/closesAt","Đóng cửa vào"
"myOutlet/openingHours/inputError","Thời gian đóng cửa phải lớn hơn thời gian mở cửa"
"myOutlet/openingHours/overlapError","Khoảng thời gian không được trùng lặp"
"myOutlet/openingHours/invalidOpeningHours","Giờ mở cửa của bạn không thể cập nhật thông tin"
"myOutlet/openingHours/sameTimeError","Không thể chọn thời gian mở cửa và thời gian đóng cửa giống nhau"
"myOutlet/openingHours/atLeastOneOption","Vui lòng chọn ít nhất một lựa chọn"
"myOutlet/deliveryOptions/title","CÁC LỰA CHỌN GIAO HÀNG"
"myOutlet/deliveryOptions/enablePickup","Nhận hàng tại cửa hàng"
"myOutlet/deliveryOptions/readyIn","Sẵn sàng trong"
"myOutlet/deliveryOptions/minutes","phút"
"myOutlet/deliveryOptions/discount","Giãm giá (%)"
"myOutlet/deliveryOptions/enableDelivery","Giao hàng tận nơi"
"myOutlet/deliveryOptions/estimatedTimeGuide","Vui lòng thêm thời gian giao hàng ước tính"
"myOutlet/deliveryOptions/deliveryFee","Phí giao hàng"
"myOutlet/deliveryOptions/minimumOrderAmount","Số lượng đặt hàng tối thiểu"
"myOutlet/deliveryOptions/freeDeliveryWith","Giao hàng miễn phí với giá trị đơn hàng trên"
"myOutlet/deliveryOptions/discountPlaceholder","Nhập giãm giá"
"myOutlet/deliveryOptions/deliveryFeePlaceholder","Nhập phí giao hàng"
"myOutlet/deliveryOptions/minimumOrderAmountPlaceholder","Nhập số lượng đơn hàng tối thiểu"
"myOutlet/deliveryOptions/orderValuePlaceholder","Nhập giá trị đơn hàng"
"myOutlet/deliveryOptions/updateError","Lựa chọn giao hàng của bạn không thể cập nhật thông tin"
"myOutlet/deliveryOptions/onlyNumberError","Chỉ được nhập số"
"myOutlet/deliveryOptions/discountInputError","Chỉ được có 2 chữ số thập phân"
"myOutlet/deliveryOptions/atLeastOneOption","Vui lòng chọn ít nhất một tùy chọn"
"myOutlet/deliveryOptions/discountError","Giãm giá phải được nhập từ 0 đến 100"
"myOutlet/deliveryOptions/emptyDeliveryFee","Vui lòng nhập phí giao hàng"
"myOutlet/deliveryOptions/emptyMinimumOrderAmount","Vui lòng nhập số lượng đặt hàng tối thiểu"
"myOutlet/deliveryOptions/emptyFeeDeliveryWith","Phí giao hàng sẽ được miễn phí với giá trị đơn hàng trên"
"myOutlet/deliveryOptions/emptyDiscount","Vui lòng nhập giãm giá (%)"
"myOutlet/paymentOptions/title","PHƯƠNG THỨC THANH TOÁN"
"myOutlet/paymentOptions/outletInfoUpdated","Thông tin cửa hàng đã được cập nhật. Vui lòng tiếp tục và thêm thực đơn của bạn."
"myOutlet/paymentOptions/epayRegister","Nếu bạn hiện không có tài khoản, vui lòng "
"myOutlet/paymentOptions/signUpHere","đăng ký tại đây"
"myOutlet/paymentOptions/placeholder","Vui lòng nhập vào đây"
"myOutlet/paymentOptions/requiredError","Đầu vào là bắt buộc"
"myOutlet/paymentOptions/linkError","Vui lòng nhập một liên kết chính xác"
"myOutlet/paymentOptions/phoneNumberError","Vui lòng nhập một số điện thoại chính xác"
"myOutlet/paymentOptions/updateError","Phương thức thanh toán của bạn không thể cập nhật thông tin"
"myOutlet/paymentOptions/atLeastOneOption","Vui lòng chọn ít nhất một lựa chọn"
"myOrders/noOrderFound/title","Không tìm thấy đơn hàng"
"myOrders/noOrderFound/info","Rất tiếc, có vẻ như khách hàng của bạn chưa đặt hàng."
"myOrders/orderFilter/title","LỌC ĐƠN HÀNG THEO"
"myOrders/orderFilter/orderDateRange","KHOẢNG THỜI GIAN ĐẶT HÀNG"
"myOrders/orderFilter/startDate","Ngày bắt đầu"
"myOrders/orderFilter/endDate","Ngày kết thúc"
"myOrders/orderFilter/fromTo","TỪ - ĐẾN"
"myOrders/orderFilter/deliveryOption","LỰA CHỌN GIAO HÀNG"
"myOrders/orderFilter/pickup","Nhận hàng tại cửa hàng"
"myOrders/orderFilter/delivery","Giao hàng tận nơi"
"myOrders/orderFilter/paymentOption","PHƯƠNG THỨC THANH TOÁN"
"myOrders/orderFilter/cash","Tiền mặt"
"myOrders/orderFilter/creditCard","Thẻ tín dụng"
"myOrders/orderFilter/clear","Xóa hết"
"myOrders/orderFilter/apply","Áp dụng"
"myOrders/orderFilter/selectDateError","Vui lòng chọn cả ngày bắt đầu và ngày kết thúc"
"myOrders/orderSort/title","SẮP XẾP THEO"
"myOrders/orderSort/totalPrice","TỔNG THANH TOÁN"
"myOrders/orderSort/highToLow","Cao đến thấp"
"myOrders/orderSort/lowToHigh","Thấp đến cao"
"myOrders/orderSort/orderDate","NGÀY ĐẶT HÀNG"
"myOrders/orderSort/latest","Gần nhất"
"myOrders/orderSort/oldest","Xa nhất"
"myOrders/all/title","ĐƠN HÀNG CỦA TÔI"
"myOrders/all/filter","Bộ lọc"
"myOrders/all/sort","Sắp xếp"
"myOrders/all/searchOrder","Tìm kiếm đơn hàng..."
"myOrders/all/all","Tất cả"
"myOrders/all/new","Đơn mới"
"myOrders/all/inProgress","Đang xử lý"
"myOrders/all/ready","Sẳn sàng"
"myOrders/all/cancelled","Đã hủy"
"myOrders/all/completed","Hoàn tất"
"myOrders/all/rejected","Bị từ chối"
"myOrders/all/buyerName","Tên người mua"
"myOrders/all/buyerPhone","Số điện thoại người mua"
"myOrders/all/items","Mặt hàng"
"myOrders/all/total","Tổng thanh toán"
"myOrders/all/deliveryOption","Lựa chọn giao hàng"
"myOrders/searchOrder/noOrderFound","KHÔNG TÌM THẤY ĐƠN HÀNG"
"myOrders/calendarPicker/startDateTitle","NGÀY BẮT ĐẦU"
"myOrders/calendarPicker/endDateTitle","NGÀY KẾT THÚC"
"myOrders/calendarPicker/setStart","Đặt ngày bắt đầu"
"myOrders/calendarPicker/setEnd","Đặt ngày kết thúc"
"myOrders/calendarPicker/cancel","Hủy bỏ"
"myOrders/calendarPicker/setDate","Đặt ngày"
"myOrders/calendarPicker/january","Tháng một"
"myOrders/calendarPicker/february","Tháng hai"
"myOrders/calendarPicker/march","Tháng ba"
"myOrders/calendarPicker/april","Tháng tư"
"myOrders/calendarPicker/may","Tháng năm"
"myOrders/calendarPicker/june","Tháng sáu"
"myOrders/calendarPicker/july","Tháng bảy"
"myOrders/calendarPicker/august","Tháng tám"
"myOrders/calendarPicker/september","Tháng chín"
"myOrders/calendarPicker/october","Tháng mười"
"myOrders/calendarPicker/november","Tháng mười một"
"myOrders/calendarPicker/december","Tháng mười hai"
"myOrders/calendarPicker/su","CN"
"myOrders/calendarPicker/mo","T2"
"myOrders/calendarPicker/tu","T3"
"myOrders/calendarPicker/we","T4"
"myOrders/calendarPicker/th","T5"
"myOrders/calendarPicker/fr","T6"
"myOrders/calendarPicker/sa","T7"
"myOrders/calendarPicker/selectDateError","Không thể chọn những ngày này"
"myOrders/calendarPicker/setDateError","Vui lòng chọn từ ngày... tới ngày..."
"myOrders/orderDetail/order","ĐƠN HÀNG"
"myOrders/orderDetail/subTotal","Tổng tiền hàng"
"myOrders/orderDetail/noteFromBuyer","Ghi chú từ người mua:"
"myOrders/orderDetail/orderDate","Ngày đặt hàng"
"myOrders/orderDetail/orderStatus","Tình trạng đơn hàng"
"myOrders/orderDetail/buyerName","Tên người mua"
"myOrders/orderDetail/buyerPhone","Số điện thoại người mua"
"myOrders/orderDetail/total","Tổng thanh toán"
"myOrders/orderDetail/deliveryOption","Lựa chọn giao hàng"
"myOrders/orderDetail/paymentOption","Phương thức thanh toán"
"myOrders/orderDetail/new","Đơn mới"
"myOrders/orderDetail/inProgress","Đang xử lý"
"myOrders/orderDetail/ready","Sẳn sàng"
"myOrders/orderDetail/cancelled","Đã hủy"
"myOrders/orderDetail/completed","Hoàn tất"
"myOrders/orderDetail/rejected","Bị từ chối"
"myOrders/orderDetail/pickup","Nhận hàng tại cửa hàng"
"myOrders/orderDetail/delivery","Giao hàng tận nơi"
"myOrders/orderDetail/reject","Từ chối"
"myOrders/orderDetail/accept","Chấp nhận"
"myOrders/orderDetail/cancelOrder","Hủy đơn hàng"
"myOrders/orderDetail/readyForPickup","Đơn hàng đã sẳn sàng để nhận"
"myOrders/orderDetail/completeOrder","Đơn hàng thành công"
"myOrders/orderDetail/completedOn","Đơn hàng này thành công vào lúc"
"myOrders/orderDetail/cancelledOn","Đơn hàng này bị hủy vào lúc"
"myOrders/orderDetail/rejectedOn","Đơn hàng này bị cửa hàng từ chối vào lúc"
"myOrders/rejectPopup/title","Từ chối đơn đặt hàng này?"
"myOrders/rejectPopup/desc","Bạn có chắc chắn muốn từ chối đơn này không? Bạn cũng có thể gửi tin nhắn cho người mua."
"myOrders/rejectPopup/messageToBuyer","Nhắn tin cho người mua"
"myOrders/rejectPopup/reject","Từ chối"
"myOrders/rejectPopup/cancel","Hủy bỏ"
"myOrders/rejectPopup/placeholder","Vui lòng nhập tin nhắn của bạn tại đây"
"myOrders/cancelPopup/title","Hủy đơn hàng này?"
"myOrders/cancelPopup/desc","Bạn có chắc rằng mình muốn hủy đơn hàng này?"
"myOrders/cancelPopup/messageToBuyer","Nhắn tin cho người mua"
"myOrders/cancelPopup/confirm","Đồng ý hủy đơn hàng"
"myOrders/cancelPopup/goBack","Quay lại"
"myOrders/cancelPopup/placeholder","Vui lòng nhập tin nhắn của bạn tại đây"
"FAQ/submitButton","Gửi câu hỏi của bạn"
"FAQ/title","Các câu hỏi thường gặp:"
"FAQ/QuestionTitle","GỬI CÂU HỎI"
"FAQ/questionRelated","Câu hỏi của bạn có liên quan đến "
"FAQ/howCanHelp","Làm thế nào chúng ta có thể giúp đỡ?"
"FAQ/submit","Gửi"
"FAQ/placeholderLargeText","Vui lòng nhập câu hỏi của bạn ở đây"
"FAQ/gotIt","Đã hiểu"
"FAQ/submitSuccess","Câu hỏi của bạn đã được gửi. Chúng tôi sẽ liên hệ lại với mình trong thời gian sớm nhất."
"FAQ/submitError","Không thể gửi"
"FAQ/largeTextError","Câu hỏi của bạn không được để trống"
"menu/createNewMenu/title","THỰC ĐƠN MỚI"
"menu/createNewMenu/Tab1Title","THÔNG TIN THỰC ĐƠN"
"menu/createNewMenu/Tab2Title","CHI TIẾT THỰC ĐƠN"
"menu/createNewMenu/TitleBanner","Hình ảnh biểu ngữ"
"menu/createNewMenu/titleInput","Tiêu đề"
"menu/createNewMenu/titleLargeInput","Miêu tả"
"menu/createNewMenu/saveButton","Lưu và tiếp tục"
"menu/createNewMenu/titlePlaceholder","Tiêu đề thực đơn"
"menu/createNewMenu/descriptionPlaceholder","Mô tả thực đơn"
"menu/createNewMenu/createSuccessMsg","Thông tin cửa hàng đã được lưu."
"menu/createNewMenu/noSectionTitle","Chưa có danh mục nào"
"menu/createNewMenu/noSectionDesLine1","Bạn chưa thêm bất kỳ danh mục nào."
"menu/createNewMenu/noSectionDesLine2","Vui lòng thêm một danh mục hoặc nhập từ Heineken"
"menu/createNewMenu/addSection","Thêm danh mục"
"menu/createNewMenu/addSectionHeader","THÊM DANH MỤC"
"menu/createNewMenu/sectionName","Tên danh mục"
"menu/createNewMenu/placeHolderSectionName","Nhập tên danh mục"
"menu/createNewMenu/errorInputSection","Vui lòng đặt "Section title" của bạn trước"
"menu/createNewMenu/sectionHint","Hãy cho danh mục thực đơn một cái tên cụ thể, ví dụ 'Khai vị', 'Tráng miệng', hoặc 'Pizza'."
"menu/createNewMenu/add","Thêm"
"menu/createNewMenu/addSectionSuccess","Một danh mục đã được thêm vào. Thêm sản phẩm vào đơn hàng để xem trước/đăng tải thực đơn của bạn."
"menu/createNewMenu/errorInput","Vui lòng đặt "Menu title" của bạn trước"
"menu/createNewMenu/faildCreate","Không thể tạo thực đơn mới"
"menu/createNewMenu/faildCreateSection","Không tạo được danh mục."
"menu/menuList/headerTitle","DANH SÁCH THỰC ĐƠN"
"menu/menuList/addMenu","Thêm thực đơn"
"menu/menuList/addStaff","Thêm nhân viên"
"menu/menuList/view","Xem"
"menu/menuList/close","Đóng"
"menu/menuList/viewMenu","Xem thực đơn"
"menu/menuList/coolMenuIsPublished","Tuyệt vời! Thực đơn đã được đăng tải!"
"menu/menuList/edit","Chỉnh sửa"
"menu/menuList/delete","Xóa"
"menu/menuList/unpublish","Hủy đăng tải"
"menu/menuList/publish","Đăng tải"
"menu/menuList/viewQR","Xem mã QR"
"menu/menuList/copyURL","Sao chép URL"
"menu/menuList/preview","Xem trước"
"menu/menuList/cancel","Hủy bỏ"
"menu/menuList/deleteMenu","Xóa thực đơn"
"menu/menuList/deleteMenuButton","Đồng ý xóa thực đơn"
"menu/menuList/deleteMenuMsg","Bạn có chắc muốn xóa?"
"menu/menuList/menuURLCopiedToClipboard","URL thực đơn đã được sao chép vào khay nhớ tạm."
"menu/menuList/publishMenu","Đăng tải thực đơn"
"menu/menuList/publishMenuButton","Đồng ý đăng thực đơn"
"menu/menuList/unPublishMenuButton","Đồng ý không đăng thực đơn"
"menu/menuList/unPublishMenu","Không đăng tải thực đơn"
"menu/menuList/publishMenuMsg","Bạn có chắc rằng mình muốn đăng tải không?"
"menu/menuList/unPublishMenuMsg","Bạn có chắc rằng mình không muốn đăng tải không?"
"menu/menuList/publishSuccessMsg","Thực đơn đã được đăng tải."
"menu/menuList/unPublishSuccessMsg","Thực đơn đã không được đăng tải."
"menu/menuList/deleteMenuSuccessMsg","Thực đơn đã bị xóa."
"menu/menuList/previewMenu","XEM TRƯỚC THỰC ĐƠN"
"menu/sectionList/arrangeTitle","Sắp xếp lại các danh mục"
"menu/sectionList/show","Hiện"
"menu/sectionList/hide","Ẩn"
"menu/sectionList/addProduct","Thêm sản phẩm"
"menu/sectionList/importFromHeniken","Nhập từ Heineken"
"menu/sectionList/deleteSection","Xóa danh mục {SectionName}?"
"menu/sectionList/deleteSectionSuccessMsg","Danh mục đã bị xóa."
"menu/sectionList/updateSuccess","Danh mục đã được cập nhật."
"menu/sectionList/errorUpdateSection","Danh mục chưa được cập nhật."
"menu/productList/updateSuccess","Sản phẩm đã được cập nhật."
"menu/productList/errorUpdateProduct","Sản phẩm chưa được cập nhật."
"menu/productList/deleteProductSuccessMsg","Sản phẩm đã bị xóa."
"menu/productList/emptyProductTitle1","Bạn chưa thêm bất kỳ sản phẩm nào."
"menu/productList/emptyProductTitle2","Vui lòng thêm một sản phẩm."
"menu/productList/arrangeTitle","Sắp xếp lại sản phẩm"
"menu/productList/importHeinekenTitle","Thêm sản phẩm Heineken"
"menu/productList/selectAll","Chọn tất cả"
"menu/productList/clear","Xóa hết"
"menu/productList/addButton","Thêm"
"menu/productList/selectedTitle","Đã chọn {selectedNumber} của {totalItem}"
"menu/productList/defaultProductSelectString","Vui lòng chọn từ danh sách sau"
"menu/productList/productTitle","Sản phẩm"
"menu/productList/sectionTitle","Danh mục"
"menu/productList/errorImportProduct","Không thể nhập, vui lòng thử lại!"
"menu/productList/existedImport","Sản phẩm đã tồn tại trên danh mục này. Vui lòng chọn sản phẩm khác"
"menu/addProduct/title","THÊM SẢN PHẨM"
"menu/addProduct/titleEdit","CHỈNH SỬA SẢN PHẨM"
"menu/addProduct/productImage","Hình ảnh sản phẩm"
"menu/addProduct/productName","Tên sản phẩm"
"menu/addProduct/titlePlaceholder","Tiêu đề sản phẩm"
"menu/addProduct/price","Giá"
"menu/addProduct/description","Mô tả"
"menu/addProduct/placeholderDes","Mô tả sản phẩm"
"menu/addProduct/18product","Sản phẩm 18+"
"menu/addProduct/add","Thêm"
"menu/addProduct/addSuccessMsg","Thực đơn đã được lưu."
"menu/addProduct/update","Cập nhật"
"menu/addProduct/delete","Xóa sản phẩm"
"menu/addProduct/deleteProduct","Xóa sản phẩm này?"
"menu/addProduct/errorName","Tên không được để trống"
"menu/addProduct/errorPrice","Giá không được để trống"
"menu/addProduct/errorAddProduct","Không thể thêm sản phẩm"
"menu/addProduct/updateSuccess","Cập nhật sản phẩm thành công"
"menu/addProduct/errorUpdateProduct","Không thể cập nhật sản phẩm"
"imageFromDevice/titleUpload","CHỤP ẢNH HOẶC TẢI LÊN"
"imageFromDevice/takeAPhoto","Chụp ảnh"
"imageFromDevice/chooseFromLib","Chọn từ thư viện"
"imageFromDevice/cancel","Hủy bỏ"
"imageFromDevice/uploadError","Không thể tải lên hình ảnh"
"myUsers/myUsers","NGƯỜI DÙNG CỦA TÔI"
"myUsers/addUser","Thêm người dùng"
"myUsers/editUser","Chỉnh sửa thông tin người dùng"
"myUsers/outletManager","Quản lý cửa hàng"
"myUsers/phoneNumber","Số điện thoại"
"myUsers/password","Mật khẩu"
"myUsers/name","Họ và tên"
"myUsers/role","Vai trò"
"myUsers/add","Thêm"
"myUsers/cancel","Hủy bỏ"
"myUsers/update","Cập nhật"
"myUsers/deleteMenuButton","Đồng ý xóa"
"myUsers/deleteThisUser","Xóa người dùng này?"
"myUsers/deleteDesc","Bạn có chắc muốn xóa?"
"myUsers/communitySeller","Người kết nối"
"myUsers/faildCreate","Không thể tạo người dùng mới"
"myUsers/faildUpdate","Không thể cập nhật thông tin người dùng này"
"myUsers/faildDeleted","Không thể xóa người dùng này"
"myUsers/successCreate","Người dùng đã được thêm vào"
"myUsers/successUpdate","Người dùng đã được cập nhật thông tin"
"myUsers/successUpdatePhoneNumber","Số điện thoại đã được cập nhật"
"myUsers/successUpdatePassword","Mật khẩu đã được cập nhật"
"myUsers/you","(You)"
"promotions/myPromotions/titleHeader","KHUYẾN MÃI CỦA TÔI"
"promotions/myPromotions/des","UMenu cung cấp các giải pháp dễ dàng và hoàn hảo để thúc đẩy doanh số bán hàng cho cửa hàng của bạn."
"promotions/myPromotions/textButton","Hãy bắt đầu nào"
"promotions/listPromotions/titleHeader","CÁC KHUYẾN MÃI CỦA TÔI"
"promotions/listPromotions/title","Quản lý các chương trình khuyến mãi của bạn tại đây"
"promotions/listPromotions/titleGift","QUÀ TẶNG KHI MUA"
"promotions/listPromotions/desGift","Thiết lập để cung cấp những quà tặng miễn phí với mỗi lần mua hàng"
"adminUsers/users","Người dùng"
"adminUsers/deleteMenuButton","Đồng ý xóa"
"adminUsers/deleteThisUser","Xóa người dùng này?"
"adminUsers/deleteDesc","Bạn có chắc chắn muốn xóa?"
"adminUsers/yesActivate","Xác nhận kích hoạt"
"adminUsers/yesDeactivate","Xác nhận hủy kích hoạt"
"adminUsers/communitySeller","Người kết nối"
"adminUsers/deactivateThisUser","Hủy kích hoạt người dùng này?"
"adminUsers/activateThisUserAlert","Kích hoạt người dùng này?"
"adminUsers/activateThisUserMsg","Bạn có chắc muốn kích hoạt không?"
"adminUsers/deactivateThisUserMsg","Bạn có muốn hủy kích hoạt không?"
"adminUsers/phoneNumber","Số điện thoại"
"adminUsers/password","Mật khẩu"
"adminUsers/name","Họ và tên"
"adminUsers/role","Vai trò"
"adminUsers/add","Thêm"
"adminUsers/activate","Kích hoạt"
"adminUsers/deactivate","Hủy kích hoạt"
"adminUsers/admin","Người dùng quản trị"
"adminUsers/addUser","Thêm người dùng"
"adminUsers/editUser","Chỉnh sửa thông tin người dùng"
"adminUsers/update","Cập nhật"
"adminUsers/cancel","Hủy bỏ"
"adminUsers/you","(You)"
"adminSideMenu/defaultMenu","Thực đơn mặc định"
"adminSideMenu/outlets","Cửa hàng"
"adminSideMenu/users","Người dùng"
"adminSideMenu/reporting","Báo cáo"
"adminSideMenu/faqs","Câu hỏi thường gặp và trợ giúp"
"adminSideMenu/logout","Đăng xuất"
"adminSideMenu/term","Điều khoản và điều kiện"
"adminSideMenu/policy","Chính sách bảo mật"
"adminHome/defaultMenu","THỰC ĐƠN MẶC ĐỊNH"
"adminHome/outlets","CỬA HÀNG"
"adminHome/users","NGƯỜI DÙNG"
"adminHome/reporting","BÁO CÁO"
"adminHome/promotions","KHUYẾN MÃI"
"adminHome/support","HỖ TRỢ"
"adminOutlets/outlets","CỬA HÀNG"
"adminOutlets/activeMenu","KÍCH HOẠT THỰC ĐƠN"
"adminOutlets/search","Tìm kiếm..."
"adminOutlets/filter","Bộ lọc"
"adminOutlets/sort","Sắp xếp"
"adminOutlets/noOutletFound","KHÔNG TÌM THẤY CỬA HÀNG"
"adminOutletFilter/title","LỌC BẰNG"
"adminOutletFilter/activeMenu","KÍCH HOẠT THỰC ĐƠN"
"adminOutletFilter/haveActiveMenu","Các cửa hàng có kích hoạt thực đơn"
"adminOutletFilter/dontHaveActiveMenu","Các cửa hàng không có kích hoạt thực đơn"
"adminOutletFilter/city","THÀNH PHỐ"
"adminOutletFilter/selectACity","Chọn một thành phố"
"adminOutletFilter/selected","đã chọn"
"adminOutletFilter/districts","QUẬN"
"adminOutletFilter/selectACityFirst","Hãy chọn một thành phố trước"
"adminOutletFilter/selectDistricts","Chọn quận"
